ID,votos
10000000135,9734.329072110628
10000000142,10033.884418391295
10000000158,38261.97512545751
10000000161,30589.913463157452
10000000163,81262.18970234133
10000000164,12279.55819632221
10000000166,41059.396316094804
10000000169,62019.61916504482
10000000170,17496.778385365164
10000000171,41027.22483856206
10000000172,16945.844437148105
10000000173,40812.30480818522
10000000176,12695.29229506546
10000000177,23186.735659396094
10000000178,29369.880275745963
10000000179,18195.038866480387
10000000180,15833.81524493139
10000000327,9573.051671651176
10000000347,10832.953227549271
10000000348,10897.761717447733
10000000349,11427.632339466743
10000000358,10324.604170734714
10000000363,10332.963879042198
10000000365,9504.938753460941
10000000366,9657.002310656975
10000000367,9601.139559919395
10000000368,26463.14423514615
10000000369,9896.848100434281
10000000370,9680.567984551159
10000000371,9904.489225124966
10000000602,10953.119213507469
10000000603,10623.000271399078
10000000607,16195.661423478452
10000000608,12237.288638198619
10000000609,12185.068570852767
10000000610,11621.402631404495
10000000611,9934.2306608034
10000000613,40109.182388556634
10000000614,73315.67562839562
10000000615,32520.73179105146
10000000616,41836.73494875204
10000000617,18841.883388742204
10000000618,13484.822789607722
10000000619,9844.335956704283
10000000620,15583.423713758242
10000000624,29946.826380287042
10000000721,9734.329072110628
10000000761,43573.36808641452
20000000009,9582.683377437173
20000000010,9484.459039192589
20000000019,11033.08520812186
20000000023,9633.309427822718
20000000024,9466.193527127245
20000000043,39535.25410017019
20000000044,44490.62273803509
20000000045,12972.899033188549
20000000046,16775.09199707215
20000000047,9970.338156111675
20000000050,9904.116831962232
20000000052,10282.182811120807
20000000054,14786.755256201897
20000000059,9726.167086554615
20000000060,13788.810896051136
20000000082,10221.28966710363
20000000083,9554.64769434882
20000000085,9626.532292870737
20000000086,9626.532292870737
20000000119,9521.084788144748
20000000126,9861.874268597641
20000000127,79677.01320449184
20000000128,18777.153417834037
20000000153,112247.21319224813
20000000156,48406.95608762878
20000000157,9973.141866368787
20000000158,9458.599897604316
20000000159,9718.621867249136
20000000160,11299.338847892706
20000000167,109442.31303536514
20000000169,12885.421599820564
20000000170,17588.795287019762
20000000172,16854.16386688051
20000000198,9701.805107213111
20000000265,10053.990869850886
20000000266,35125.539599258336
20000000267,13368.64572351483
20000000269,77171.30857699426
20000000270,9741.467084210894
20000000271,9973.045558788706
20000000272,9741.467084210894
20000000273,20555.380402215396
20000000274,43555.881044842026
20000000277,14680.622528693622
20000000278,17775.602655448944
20000000280,12060.28986408498
20000000281,17607.262545200538
20000000282,18681.181421015852
20000000283,13792.691776526675
20000000284,13614.509852513958
20000000286,8713.753982991902
20000000287,88790.91053049901
20000000289,16824.35418901468
20000000364,11132.137968022229
20000000367,10034.46578885545
20000000369,23643.5622672286
20000000373,13157.972609875627
20000000380,45074.877037499515
20000000381,9808.096277495495
20000000382,106691.3594743278
20000000385,13099.830399916382
20000000391,10927.04648106911
20000000393,9513.804574156824
20000000444,10501.318833112464
20000000446,9669.173784181372
20000000449,9598.620907736542
20000000468,9527.19664394039
20000000474,9892.469656560257
20000000482,9870.438267808871
20000000484,9558.037084802121
20000000485,9558.037084802121
20000000503,24856.117322902446
20000000541,12738.244369232974
30000000004,9984.576842697496
30000000005,9665.162525561163
30000000022,15208.904779481192
30000000029,25364.751242876446
30000000033,10023.403995600309
30000000084,24801.65930202682
30000000085,10703.030825073438
30000000086,10522.591061918103
30000000087,20640.219812698982
30000000089,10141.015051000097
30000000090,10823.017860664762
30000000091,10292.287650473956
30000000092,10628.958629191126
30000000108,10476.529094402445
30000000116,19349.806124910898
30000000117,10643.723875112919
30000000118,30171.21121614968
30000000119,94146.09504316712
30000000120,10120.136607753464
30000000121,9852.706186939839
30000000122,16964.360916124504
30000000123,9690.084244150417
30000000124,19824.567918491277
30000000142,11908.866347064284
30000000143,10104.403961064218
30000000144,9604.52280965076
